Ученик,Средний балл за Сентябрь,Средний балл за Октябрь,Средний балл за Ноябрь,Средний балл за Декабрь,Средний балл за Январь,Средний балл за Февраль,Средний балл за Март,Средний балл за Апрель,Средний балл за Май,Средний балл за 3 месяца (Сентябрь-Октябрь-Ноябрь),Средний балл за 3 месяца (Декабрь-Январь-Февраль),Средний балл за 3 месяца (Март-Апрель-Май),Общее кол-во 5 за год,Общее кол-во 4 за год,Общее кол-во 3 за год,Общее кол-во 2 за год,Общее кол-во У за год,Общее кол-во Б за год,Общее кол-во Н за год,Общее кол-во 5 за 1 полугодие,Общее кол-во 4 за 1 полугодие,Общее кол-во 3 за 1 полугодие,Общее кол-во 2 за 1 полугодие,Общее кол-во У за 1 полугодие,Общее кол-во Б за 1 полугодие,Общее кол-во Н за 1 полугодие,Общее кол-во 5 за 2 полугодие,Общее кол-во 4 за 2 полугодие,Общее кол-во 3 за 2 полугодие,Общее кол-во 2 за 2 полугодие,Общее кол-во У за 2 полугодие,Общее кол-во Б за 2 полугодие,Общее кол-во Н за 2 полугодие,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный (нет предмета со ср. баллом < 3.5),Кластер
Ученица 11_8A,3.380952380952381,3.025641025641025,3.425925925925926,3.3125,3.3846153846153846,3.3867924528301887,3.0625,3.4375,3.5,3.277506444173111,3.361302612481858,3.333333333333333,66,68,203,61,30,24,7,31,27,98,30,28,22,2,35,41,105,31,2,2,5,5.0,4.0,1.1666666666666667,0,0
Ученик 12_8A,3.4473684210526314,3.4347826086956523,3.564814814814815,3.757142857142857,3.414634146341464,3.4285714285714284,3.413793103448276,3.638888888888889,3.9696969696969697,3.4823219481877,3.5334494773519167,3.674126320678045,80,95,163,43,55,30,6,33,46,71,19,35,6,1,47,49,92,24,20,24,5,6.875,3.75,0.75,0,0
Ученица 13_8A,3.9375,3.689189189189189,3.784090909090909,4.293103448275862,3.775,3.826530612244898,3.546875,3.7547169811320753,3.625,3.8035933660933674,3.9648780201735865,3.642197327044025,110,116,118,32,73,63,15,58,54,46,13,38,46,0,52,62,72,19,35,17,15,9.125,7.875,1.875,0,0
Ученица 14_8A,3.982456140350877,3.880952380952381,4.196428571428571,4.2631578947368425,4.15,3.918918918918919,3.887096774193549,4.076923076923077,3.640625,4.019945697577277,4.110692271218587,3.868214950372208,120,127,88,15,31,135,19,61,59,37,7,19,88,1,59,68,51,8,12,47,18,3.4444444444444446,15.0,2.111111111111111,0,1
Ученик 15_8A,3.4915254237288136,3.6666666666666665,3.5945945945945947,3.821428571428572,3.41025641025641,3.49,3.375,3.682692307692308,3.6805555555555554,3.5842622283300245,3.573894993894994,3.5794159544159547,65,105,147,33,170,1,23,29,52,57,16,104,0,0,36,53,90,17,66,1,23,18.88888888888889,0.1111111111111111,2.555555555555556,0,0
Ученица 16_8A,3.959183673469388,3.793478260869565,3.855555555555556,3.932432432432433,4.0,3.8552631578947367,3.734375,3.625,3.9516129032258074,3.869405829964837,3.9292318634423897,3.770329301075269,101,98,111,21,79,80,8,52,58,55,9,29,0,0,49,40,56,12,50,80,8,13.166666666666666,13.333333333333334,1.3333333333333333,0,1
Ученик 17_8A,3.543859649122807,3.160377358490566,3.4245283018867925,3.446428571428572,3.3617021276595747,3.273809523809524,3.324324324324324,3.4411764705882355,3.763157894736842,3.376255103166722,3.36064674096589,3.509552896549801,68,94,195,60,84,0,9,29,45,84,30,65,0,0,39,49,111,30,19,0,9,14.0,0.0,1.5,0,0
Ученик 18_8A,3.21875,3.1323529411764706,3.325,3.25,3.1142857142857143,3.127659574468085,3.083333333333333,3.355769230769231,3.0142857142857142,3.2253676470588237,3.163981762917933,3.151129426129426,38,56,181,69,97,63,39,14,31,77,26,39,61,3,24,25,104,43,58,2,36,10.77777777777778,7.0,4.333333333333333,0,0
Ученик 19_8A,3.515625,3.342592592592593,3.4038461538461537,3.7903225806451615,3.6944444444444446,3.276595744680851,3.1625,3.4661016949152543,3.5,3.4206879154795824,3.587120923256819,3.3762005649717515,66,101,177,57,109,0,14,38,48,84,29,40,0,0,28,53,93,28,69,0,14,13.625,0.0,1.75,0,0
Ученик 20_8A,3.292682926829268,3.130434782608696,3.0609756097560976,3.15,3.282051282051282,3.1451612903225805,2.9393939393939394,3.090909090909091,3.293103448275862,3.161364439731354,3.192404190791287,3.107802159526297,29,46,174,59,72,225,19,13,27,78,29,40,71,2,16,19,96,30,32,154,17,8.0,25.0,2.111111111111111,0,0
Ученица 21_8A,4.056603773584905,3.8055555555555554,3.9,3.9130434782608696,4.026315789473684,3.8369565217391295,3.5166666666666666,3.939393939393939,4.303030303030303,3.9207197763801536,3.925438596491228,3.9196969696969695,140,84,103,30,141,13,7,67,49,48,15,39,0,0,73,35,55,15,102,13,7,17.625,1.625,0.875,0,1
Ученица 22_8A,4.30188679245283,4.1,4.368421052631579,4.488372093023256,4.638888888888889,4.375,4.4324324324324325,4.54054054054054,4.638888888888889,4.256769281694803,4.500753660637382,4.537287287287287,172,119,31,3,139,113,11,71,63,19,2,55,54,3,101,56,12,1,84,59,8,15.444444444444445,12.555555555555555,1.2222222222222223,1,1
Ученица 23_8A,4.036363636363636,3.8142857142857145,3.872727272727273,4.107142857142857,3.8205128205128207,3.7857142857142856,3.3181818181818183,4.087301587301587,4.176470588235294,3.907792207792208,3.9044566544566544,3.8606513312395663,128,108,107,24,84,52,13,63,46,51,10,33,52,0,65,62,56,14,51,0,13,12.0,7.428571428571429,1.8571428571428568,0,1
Ученица 24_8A,3.5675675675675675,3.475,3.583333333333333,3.548387096774193,3.555555555555556,3.861702127659575,4.083333333333333,3.709090909090909,3.9305555555555554,3.541966966966968,3.655214926663108,3.907659932659932,86,95,131,34,60,50,19,31,43,66,19,54,0,1,55,52,65,15,6,50,18,6.666666666666667,5.555555555555555,2.111111111111111,0,0
Ученица 25_8A,3.6666666666666665,3.625,3.75,4.166666666666667,4.12,3.824324324324324,3.642857142857143,3.75,4.115384615384615,3.6805555555555554,4.036996996996997,3.8360805860805858,72,99,85,18,90,288,13,37,42,42,13,57,94,1,35,57,43,5,33,194,12,10.0,32.0,1.4444444444444444,0,0
Ученик 1_9A,3.73469387755102,3.4342105263157894,3.283783783783784,3.573529411764706,3.586206896551724,3.5277777777777777,3.9210526315789473,3.607142857142857,3.9737529294656952,3.4842293958835318,3.562504695364736,3.7640977443609023,42,73,89,28,85,153,3,26,47,63,19,32,62,3,16,26,26,9,53,91,0,10.625,19.125,0.375,0,0
Ученик 2_9A,3.1538461538461537,3.1875,3.049019607843137,3.0,3.0526315789473686,3.1481481481481484,3.397058823529412,2.8947368421052637,3.9737529294656952,3.130121920563097,3.066926575698506,3.145897832817337,19,44,142,54,65,200,11,7,25,86,26,45,148,11,12,19,56,28,20,52,0,8.125,25.0,1.375,0,0
Ученик 3_9A,2.956140350877193,2.953703703703704,3.033333333333333,3.0625,2.892857142857143,3.0098039215686274,3.0694444444444446,2.7045454545454546,3.9737529294656952,2.981059129304743,2.9883870214752566,2.88699494949495,26,41,179,107,34,2,0,15,27,107,59,27,2,0,11,14,72,48,7,0,0,5.666666666666667,0.3333333333333333,0.0,0,0
Ученица 4_9A,3.8191489361702127,3.862745098039216,3.8297872340425534,3.731707317073171,3.628571428571429,3.625,3.290322580645161,2.833333333333333,3.9737529294656952,3.8372270894173273,3.661759581881533,3.0618279569892475,61,112,82,37,76,2,0,40,80,53,10,12,2,0,21,32,29,27,64,0,0,15.2,0.4,0.0,0,0
Ученик 5_9A,3.317073170731707,3.201923076923077,3.0508474576271185,3.2291666666666665,2.9069767441860463,3.009433962264151,3.125,2.833333333333333,3.9737529294656952,3.1899479017606343,3.0485257910389545,2.979166666666667,26,59,175,75,8,22,10,15,40,108,34,6,4,10,11,19,67,41,2,18,0,2.0,5.5,2.5,0,0
Ученица 6_9A,4.428571428571429,4.447916666666667,4.076271186440678,4.204545454545454,4.345238095238095,3.989130434782609,3.8783783783783785,4.090909090909091,3.9737529294656952,4.317586427226257,4.179637994855386,3.9846437346437344,150,127,54,12,1,0,2,96,72,29,4,0,0,2,54,55,25,8,1,0,0,0.3333333333333333,0.0,0.6666666666666666,1,1
Ученик 7_9A,3.725490196078432,3.574074074074074,3.542553191489361,3.731707317073171,3.661290322580645,3.3974358974358974,3.5625,3.575,3.9737529294656952,3.614039153880622,3.5968111790299044,3.56875,50,114,110,31,27,0,1,30,77,68,15,16,0,1,20,37,42,16,11,0,0,5.4,0.0,0.2,0,0
Ученица 8_9A,3.702380952380953,3.4857142857142858,3.630952380952381,3.5517241379310347,3.5609756097560976,3.5,3.87037037037037,3.1785714285714284,3.9737529294656952,3.6063492063492064,3.537566582562377,3.5244708994708995,57,69,85,37,100,109,45,32,37,55,16,44,69,45,25,32,30,21,56,40,0,12.5,13.625,5.625,0,0
Ученик 9_9A,4.196428571428571,4.076923076923077,3.93,4.09375,4.2926829268292686,4.011627906976744,4.226190476190476,3.675,3.9737529294656952,4.067783882783883,4.132686944602004,3.950595238095238,154,101,62,28,46,3,1,85,66,37,14,16,0,0,69,35,25,14,30,3,1,15.333333333333334,1.0,0.3333333333333333,0,1
Ученица 10_9A,4.0638297872340425,4.127659574468085,4.117647058823529,4.021739130434782,3.8225806451612905,4.119047619047619,3.4722222222222223,3.692307692307693,3.9737529294656952,4.103045473508552,3.987789131547897,3.5822649572649574,92,103,57,17,126,41,2,71,73,36,9,22,2,2,21,30,21,8,104,39,0,15.75,5.125,0.25,0,1
Ученица 11_9A,3.196078431372549,3.5625,3.289473684210526,3.63953488372093,3.1323529411764706,3.242857142857143,2.8,3.055555555555556,3.9737529294656952,3.3493507051943587,3.338248322584848,2.9277777777777776,33,78,113,61,37,0,0,21,58,76,24,29,0,0,12,20,37,37,8,0,0,9.25,0.0,0.0,0,0
Ученик 12_9A,3.764705882352941,3.518867924528302,3.5901639344262297,3.489583333333333,3.890243902439024,3.3783783783783785,3.554054054054054,3.217391304347826,3.9737529294656952,3.6245792471024902,3.5860685380502453,3.3857226792009403,68,94,119,45,14,19,16,39,56,78,21,7,0,16,29,38,41,24,7,19,0,7.0,9.5,8.0,0,0
Ученица 13_9A,4.24,4.108695652173913,4.095744680851064,4.0,3.371794871794872,3.619565217391304,3.678571428571429,3.857142857142857,3.9737529294656952,4.1481467776749925,3.663786696395393,3.767857142857143,109,103,62,38,68,1,11,78,62,28,14,47,1,11,31,41,34,24,21,0,0,11.333333333333334,0.1666666666666666,1.8333333333333333,0,1
Ученица 14_9A,4.072727272727272,4.145833333333333,3.9107142857142856,4.035714285714286,3.65,3.702380952380953,3.797297297297298,3.65,3.9737529294656952,4.04309163059163,3.796031746031746,3.723648648648648,101,137,61,34,62,1,2,67,85,36,12,29,1,2,34,52,25,22,33,0,0,8.857142857142858,0.1428571428571428,0.2857142857142857,0,1
Ученик 15_9A,3.6219512195121952,3.736842105263158,3.436170212765957,3.690476190476191,3.317073170731707,3.3285714285714287,3.625,3.4166666666666665,3.9737529294656952,3.5983211791804366,3.445373596593109,3.520833333333333,48,93,97,44,120,24,9,29,61,57,19,80,0,9,19,32,40,25,40,24,0,17.142857142857142,3.4285714285714284,1.2857142857142858,0,0
Ученица 16_9A,4.072916666666667,4.06,3.7884615384615374,4.022222222222222,4.130434782608695,3.8125,3.671875,3.8260869565217392,3.9737529294656952,3.973792735042735,3.988385668276973,3.7489809782608696,100,110,69,25,34,0,2,61,78,42,11,13,0,2,39,32,27,14,21,0,0,6.8,0.0,0.4,0,1
Ученик 17_9A,3.457627118644068,3.6354166666666665,3.419642857142857,3.4444444444444446,3.1547619047619047,3.269230769230769,3.5303030303030303,3.333333333333333,3.9737529294656952,3.504228880817864,3.289479039479039,3.4318181818181817,53,85,160,48,11,0,5,36,50,95,23,6,0,5,17,35,65,25,5,0,0,2.75,0.0,1.25,0,0
Ученик 18_9A,3.339622641509434,3.1923076923076925,3.3421052631578947,3.3404255319148937,2.9714285714285715,3.0625,3.111111111111111,2.8,3.9737529294656952,3.291345198991673,3.1247847011144887,2.955555555555556,29,65,114,68,76,85,10,22,45,84,35,21,52,8,7,20,30,33,55,33,2,9.5,10.625,1.25,0,0
Ученик 19_9A,3.8068181818181817,4.0,4.057692307692308,4.244897959183674,3.875,3.7222222222222223,3.571428571428572,3.690476190476191,3.9737529294656952,3.95483682983683,3.9473733938019655,3.630952380952381,99,100,72,25,36,0,3,75,62,49,10,6,0,3,24,38,23,15,30,0,0,6.0,0.0,0.5,0,1
Ученик 20_9A,3.2906976744186047,3.1578947368421053,3.1486486486486487,3.305555555555556,2.9642857142857144,3.06,3.0625,2.4615384615384617,3.9737529294656952,3.19908035330312,3.10994708994709,2.762019230769231,19,49,111,61,99,96,9,11,37,78,26,59,33,9,8,12,33,35,40,63,0,12.375,12.0,1.125,0,0
Ученица 21_9A,4.166666666666667,3.783783783783784,3.952380952380953,4.047619047619048,4.288461538461538,3.907407407407408,4.045454545454546,3.411764705882353,3.9737529294656952,3.967610467610468,4.081162664495998,3.728609625668449,87,88,52,20,74,73,20,51,64,35,9,36,31,20,36,24,17,11,38,42,0,9.25,9.125,2.5,0,1
Ученица 22_9A,4.416666666666667,4.541666666666667,4.267441860465116,4.519607843137255,4.714285714285714,4.482758620689655,4.068181818181818,3.9583333333333335,3.9737529294656952,4.40859173126615,4.572217392704208,4.013257575757576,153,85,27,3,86,28,15,97,62,16,1,21,2,15,56,23,11,2,65,26,0,12.285714285714286,4.0,2.142857142857143,1,1
Ученица 23_9A,4.090909090909091,4.047619047619048,4.13265306122449,3.7857142857142856,3.571428571428572,3.695121951219512,3.46875,3.1052631578947367,3.9737529294656952,4.090393733250876,3.684088269454124,3.287006578947368,93,111,85,33,17,13,3,65,77,40,11,7,13,3,28,34,45,22,10,0,0,3.4,2.6,0.6,0,1
Ученица 24_9A,3.7788461538461537,4.294117647058823,4.109090909090909,4.102564102564102,3.838709677419355,3.670731707317073,3.9655172413793114,3.25,3.9737529294656952,4.060684903331962,3.8706684957668434,3.6077586206896552,106,92,70,31,8,31,8,71,56,41,11,2,31,8,35,36,29,20,6,0,0,1.6,6.2,1.6,0,1
Ученица 25_9A,4.153846153846154,4.170212765957447,3.967741935483871,4.175,4.074074074074074,3.924242424242424,4.092592592592593,4.0,3.9737529294656952,4.097266951762491,4.057772166105499,4.046296296296296,94,95,47,11,107,26,17,62,57,31,5,53,21,17,32,38,16,6,54,5,0,13.375,3.25,2.125,0,1
Ученик 1_10A,4.387755102040816,4.413793103448276,4.358974358974359,4.242857142857143,4.385714285714286,4.203125,4.333333333333333,4.277777777777778,4.305555555555555,4.386840854821149,4.277232142857144,4.305555555555555,148,102,42,4,7,0,2,76,55,17,3,5,0,2,72,47,25,1,2,0,0,1.4,0.0,0.4,0,1
Ученица 2_10A,4.886363636363637,4.933333333333334,4.914285714285715,4.979166666666667,5.0,4.928571428571429,4.9,4.948979591836735,5.0,4.911327561327561,4.9692460317460325,4.949659863945578,262,11,2,0,36,29,9,123,8,1,0,35,8,3,139,3,1,0,1,21,6,4.0,3.2222222222222223,1.0,1,1
Ученица 3_10A,3.976744186046512,4.32258064516129,4.261904761904762,4.08,4.303030303030303,4.153846153846154,4.190476190476191,4.215909090909091,4.083333333333333,4.187076531037522,4.178958818958819,4.163239538239538,109,108,54,3,45,23,2,54,54,29,2,13,23,1,55,54,25,1,32,0,1,5.0,2.555555555555556,0.2222222222222222,0,1
Ученик 4_10A,4.659090909090909,4.580645161290323,4.631578947368421,4.866666666666666,4.720588235294118,4.65,4.8,4.756410256410256,4.7368421052631575,4.623771672583218,4.745751633986928,4.764417453891138,210,63,8,1,31,10,5,101,38,4,0,11,10,4,109,25,4,1,20,0,1,4.428571428571429,1.4285714285714286,0.7142857142857143,1,1
Ученица 5_10A,4.1395348837209305,4.178571428571429,4.461538461538462,4.5,4.403225806451613,4.224137931034483,4.428571428571429,4.4125,4.131578947368421,4.25988159127694,4.375787912495365,4.32421679197995,133,104,36,3,30,0,6,66,53,20,1,13,0,5,67,51,16,2,17,0,1,4.285714285714286,0.0,0.8571428571428571,0,1
Ученица 6_10A,4.142857142857143,4.266666666666667,4.512820512820513,4.458333333333333,4.387096774193548,4.209677419354839,4.285714285714286,4.421052631578948,4.078947368421052,4.307448107448107,4.351702508960574,4.261904761904762,133,111,34,4,31,0,6,71,57,15,3,3,0,5,62,54,19,1,28,0,1,4.428571428571429,0.0,0.8571428571428571,0,1
Ученик 7_10A,3.5681818181818183,3.735294117647059,3.975,4.114285714285714,4.035714285714286,3.5,3.9166666666666665,3.840909090909091,3.6944444444444446,3.759491978609626,3.883333333333333,3.817340067340068,82,96,99,17,19,9,4,42,53,49,9,3,9,2,40,43,50,8,16,0,2,3.1666666666666665,1.5,0.6666666666666666,0,1
Ученик 8_10A,3.404255319148936,3.774193548387097,3.4651162790697674,4.145161290322581,3.735294117647059,3.689655172413793,3.692307692307693,3.607142857142857,3.794117647058824,3.5478550488686005,3.856703526794478,3.697856065503125,60,107,99,29,14,0,3,31,52,52,16,13,0,1,29,55,47,13,1,0,2,2.8,0.0,0.6,0,0
Ученик 9_10A,3.763157894736842,3.65625,3.5609756097560976,3.803030303030303,3.6,3.7,3.75,3.6538461538461537,3.7857142857142856,3.66012783483098,3.701010101010101,3.72985347985348,58,72,83,24,111,42,29,35,43,51,14,28,0,15,23,29,32,10,83,42,14,12.333333333333334,4.666666666666667,3.2222222222222223,0,0
Ученик 10_10A,3.8125,3.857142857142857,3.975,3.5681818181818183,3.96875,3.934782608695652,3.8666666666666663,3.9615384615384617,3.7777777777777777,3.8815476190476192,3.8239048089591567,3.868660968660969,80,75,103,4,45,59,7,40,38,56,3,12,42,5,40,37,47,1,33,17,2,5.625,7.375,0.875,0,1
Ученица 11_10A,4.421052631578948,4.366666666666666,4.3,4.328125,4.25925925925926,4.282608695652174,4.35,4.15,4.055555555555555,4.362573099415204,4.289997651637145,4.185185185185185,112,103,38,1,17,38,3,65,45,19,0,7,27,1,47,58,19,1,10,11,2,2.833333333333333,6.333333333333333,0.5,1,1
Ученица 12_10A,3.6875,3.7,4.0,3.774193548387097,4.241379310344827,3.772727272727273,4.3,4.017241379310345,3.8,3.795833333333333,3.929433377153066,4.039080459770116,69,103,75,10,68,38,5,32,56,47,8,22,8,3,37,47,28,2,46,30,2,7.555555555555555,4.222222222222222,0.5555555555555556,0,1
Ученик 13_10A,4.043478260869565,4.290322580645161,4.0,4.222222222222222,4.314285714285714,4.120689655172414,4.434782608695652,4.055555555555555,4.294117647058823,4.111266947171576,4.219065863893451,4.261485270436677,120,95,52,9,1,63,6,54,45,24,6,1,56,6,66,50,28,3,0,7,0,0.2,12.6,1.2,0,1
Ученица 14_10A,4.146341463414634,3.985294117647059,4.190476190476191,4.283783783783784,4.375,4.138888888888889,4.208333333333333,4.209302325581396,4.366666666666666,4.107370590512628,4.265890890890892,4.261434108527133,129,98,43,13,32,31,3,69,47,27,9,3,4,2,60,51,16,4,29,27,1,5.333333333333333,5.166666666666667,0.5,0,1
Ученица 15_10A,3.8780487804878048,4.208333333333333,4.190476190476191,4.203703703703703,4.397435897435898,4.0,4.318181818181818,4.205882352941177,4.2631578947368425,4.0922861014324425,4.200379867046533,4.262407355286612,137,63,59,15,56,34,15,60,34,27,10,42,6,7,77,29,32,5,14,28,8,7.0,4.25,1.875,0,1
Ученица 16_10A,4.186046511627907,4.115384615384615,4.371428571428571,4.230769230769231,4.206896551724138,4.112903225806452,4.2,4.386363636363637,4.277777777777778,4.224286566147032,4.183523002766607,4.288047138047138,125,88,50,4,31,34,2,59,42,26,1,9,34,2,66,46,24,3,22,0,0,3.875,4.25,0.25,0,1
Ученик 17_10A,4.439024390243903,4.333333333333333,4.282051282051282,4.241379310344827,4.285714285714286,4.28125,4.5,4.46969696969697,4.357142857142857,4.35146966854284,4.269447865353038,4.442279942279942,126,91,26,6,42,74,7,68,43,15,5,28,8,4,58,48,11,1,14,66,3,5.25,9.25,0.875,1,1
Ученица 18_10A,4.318181818181818,4.479166666666667,4.361111111111111,4.580645161290323,4.323529411764706,4.3,4.190476190476191,4.35,4.357142857142857,4.386153198653198,4.401391524351676,4.29920634920635,151,70,48,2,15,16,10,79,33,21,1,9,10,7,72,37,27,1,6,6,3,1.875,2.0,1.25,0,1
Ученица 19_10A,4.409090909090909,4.448275862068965,4.32258064516129,4.2727272727272725,4.388888888888889,4.25925925925926,4.217391304347826,4.523255813953488,4.233333333333333,4.3933158054403885,4.306958473625141,4.324660150544883,153,77,43,4,20,1,10,77,36,21,3,17,0,6,76,41,22,1,3,1,4,3.333333333333333,0.1666666666666666,1.6666666666666667,0,1
Ученица 20_10A,4.041666666666667,3.9375,3.871794871794872,3.852941176470588,4.145161290322581,3.8846153846153846,4.130434782608695,3.891304347826087,3.84375,3.9503205128205128,3.960905950469518,3.95516304347826,95,106,74,16,33,6,4,47,58,39,9,19,5,2,48,48,35,7,14,1,2,4.714285714285714,0.8571428571428571,0.5714285714285714,0,1
Ученик 21_10A,4.232558139534884,4.064516129032258,4.15625,4.016666666666667,4.176470588235294,3.9038461538461537,4.0,3.977272727272727,3.8055555555555554,4.15110808952238,4.032327802916038,3.9276094276094273,98,103,69,7,35,4,3,54,48,29,4,20,1,3,44,55,40,3,15,3,0,7.0,0.8,0.6,0,1
Ученица 22_10A,4.304347826086956,4.344827586206897,4.352941176470588,4.134615384615385,4.258620689655173,4.173076923076923,4.095238095238095,4.2,4.25,4.3340388629214806,4.188770999115827,4.181746031746031,109,114,35,4,39,11,7,60,54,19,1,28,10,4,49,60,16,3,11,1,3,5.571428571428571,1.5714285714285714,1.0,1,1
Ученик 23_10A,4.702702702702703,4.671875,4.684210526315789,4.788461538461538,4.655172413793103,4.85,4.789473684210527,4.688888888888889,4.764705882352941,4.686262743006163,4.764544650751547,4.747689485150786,207,51,9,1,22,6,8,98,30,2,1,14,6,5,109,21,7,0,8,0,3,3.142857142857143,0.8571428571428571,1.1428571428571428,1,1
Ученик 1_11A,4.294117647058823,4.204081632653061,4.641025641025641,4.454545454545454,4.555555555555555,4.516129032258065,4.304347826086956,4.208333333333333,3.9737529294656952,4.379741640245842,4.5087433474530245,4.256340579710145,127,97,15,6,29,17,0,76,63,12,2,18,1,0,51,34,3,4,11,16,0,5.8,3.4,0.0,1,1
Ученица 2_11A,4.777777777777778,4.804347826086956,4.956521739130435,4.9393939393939394,4.928571428571429,5.0,4.982758620689655,4.769230769230769,3.9737529294656952,4.8462157809983895,4.955988455988456,4.875994694960212,209,14,4,1,112,0,8,123,11,3,1,53,0,5,86,3,1,0,59,0,3,18.666666666666668,0.0,1.3333333333333333,1,1
Ученица 3_11A,4.166666666666667,3.655555555555555,3.797297297297298,4.052631578947368,3.96875,4.068965517241379,3.857142857142857,3.6818181818181817,3.9737529294656952,3.8731731731731736,4.030115698729582,3.76948051948052,68,82,59,17,31,34,8,40,45,31,13,26,34,5,28,37,28,4,5,0,3,4.428571428571429,4.857142857142857,1.1428571428571428,0,1
Ученик 4_11A,4.285714285714286,4.648936170212766,4.878378378378378,4.714285714285714,4.827586206896552,4.75,5.0,4.666666666666667,3.9737529294656952,4.604342944768477,4.763957307060756,4.833333333333334,166,35,4,2,102,0,4,89,24,3,1,102,0,1,77,11,1,1,0,0,3,20.4,0.0,0.8,1,1
